Basis,Type,Atom,Shell,Hole,Electron,Overlap,Diff
1,S,1(O),1,0.00,-0.00,0.00,-0.00
2,X,1(O),2,1.02,0.06,0.24,-0.96
3,Y,1(O),2,2.12,0.10,0.47,-2.02
4,Z,1(O),2,12.08,0.68,2.87,-11.40
5,S,2(N),3,0.00,0.00,0.00,0.00
6,X,2(N),4,2.57,1.21,1.76,-1.36
7,Y,2(N),4,5.82,2.09,3.49,-3.73
8,Z,2(N),4,30.82,12.08,19.30,-18.74
9,S,3(C),5,-0.00,0.00,0.00,0.00
10,X,3(C),6,0.60,1.42,0.93,0.82
11,Y,3(C),6,1.51,2.70,2.02,1.19
12,Z,3(C),6,6.83,13.90,9.75,7.07
13,S,4(C),7,0.00,0.00,0.00,0.00
14,X,4(C),8,0.10,0.52,0.23,0.42
15,Y,4(C),8,1.01,6.15,2.50,5.14
16,Z,4(C),8,3.15,20.68,8.08,17.53
17,S,5(N),9,0.00,0.00,0.00,-0.00
18,X,5(N),10,0.10,0.11,0.10,0.01
19,Y,5(N),10,2.03,1.78,1.90,-0.25
20,Z,5(N),10,5.91,5.24,5.57,-0.67
21,S,6(N),11,0.00,0.00,0.00,-0.00
22,X,6(N),12,0.03,0.05,0.04,0.02
23,Y,6(N),12,0.53,0.69,0.61,0.16
24,Z,6(N),12,1.62,2.35,1.95,0.73
25,S,7(N),13,0.00,0.00,0.00,-0.00
26,X,7(N),14,0.15,0.25,0.20,0.10
27,Y,7(N),14,1.82,3.21,2.41,1.40
28,Z,7(N),14,6.36,10.97,8.35,4.61
29,S,8(N),15,0.00,0.00,0.00,0.00
30,X,8(N),16,0.02,0.15,0.05,0.13
31,Y,8(N),16,0.35,2.56,0.95,2.20
32,Z,8(N),16,1.32,8.59,3.37,7.27
33,S,9(N),17,0.08,0.02,0.04,-0.06
34,X,9(N),18,0.59,0.12,0.26,-0.47
35,Y,9(N),18,1.99,0.41,0.90,-1.58
36,Z,9(N),18,9.31,1.78,4.07,-7.53
37,S,10(H),19,0.00,0.00,0.00,-0.00
38,S,11(H),20,0.00,0.00,0.00,0.00
39,S,12(H),21,0.04,0.06,0.05,0.01
40,S,13(H),22,0.08,0.03,0.05,-0.05
