Basis,Type,Atom,Shell,Hole,Electron,Overlap,Diff
1,S,1(C),1,0.00,0.00,0.00,-0.00
2,X,1(C),2,0.00,0.00,0.00,-0.00
3,Y,1(C),2,0.00,0.00,0.00,-0.00
4,Z,1(C),2,0.00,0.00,0.00,-0.00
5,S,2(S),3,0.00,-0.00,0.00,-0.00
6,X,2(S),4,0.00,0.00,0.00,-0.00
7,Y,2(S),4,0.22,0.00,0.01,-0.22
8,Z,2(S),4,0.03,0.00,0.00,-0.03
9,S,3(C),5,0.00,0.00,0.00,-0.00
10,X,3(C),6,0.00,0.00,0.00,-0.00
11,Y,3(C),6,0.01,0.04,0.01,0.03
12,Z,3(C),6,0.00,0.01,0.00,0.01
13,S,4(C),7,0.00,-0.00,0.00,-0.00
14,X,4(C),8,0.00,0.00,0.00,-0.00
15,Y,4(C),8,0.19,0.21,0.20,0.03
16,Z,4(C),8,0.01,0.03,0.02,0.02
17,S,5(C),9,0.00,0.00,0.00,0.00
18,X,5(C),10,0.00,0.00,0.00,-0.00
19,Y,5(C),10,0.10,0.01,0.04,-0.09
20,Z,5(C),10,0.03,0.00,0.01,-0.02
21,S,6(C),11,0.00,-0.00,0.00,-0.00
22,X,6(C),12,0.00,0.00,0.00,-0.00
23,Y,6(C),12,0.00,0.07,0.02,0.07
24,Z,6(C),12,0.00,0.01,0.00,0.01
25,S,7(C),13,0.00,0.00,0.00,-0.00
26,X,7(C),14,0.00,0.00,0.00,-0.00
27,Y,7(C),14,0.21,0.28,0.24,0.07
28,Z,7(C),14,0.03,0.04,0.03,0.02
29,S,8(N),15,0.00,0.00,0.00,-0.00
30,X,8(N),16,0.01,0.00,0.00,-0.01
31,Y,8(N),16,0.32,0.05,0.13,-0.27
32,Z,8(N),16,0.05,0.01,0.02,-0.04
33,S,9(N),17,0.01,0.00,0.00,-0.00
34,X,9(N),18,0.02,0.01,0.02,-0.01
35,Y,9(N),18,0.05,0.03,0.04,-0.02
36,Z,9(N),18,0.01,0.01,0.01,-0.00
37,S,10(S),19,0.01,-0.00,0.00,-0.02
38,X,10(S),20,0.00,-0.00,0.00,-0.00
39,Y,10(S),20,0.04,0.03,0.03,-0.00
40,Z,10(S),20,0.05,0.00,0.01,-0.04
41,S,11(O),21,0.00,-0.00,0.00,-0.00
42,X,11(O),22,0.30,0.00,0.02,-0.30
43,Y,11(O),22,0.35,0.00,0.02,-0.35
44,Z,11(O),22,0.14,0.02,0.06,-0.12
45,S,12(O),23,0.00,-0.00,0.00,-0.00
46,X,12(O),24,0.18,0.00,0.01,-0.18
47,Y,12(O),24,0.32,0.01,0.05,-0.31
48,Z,12(O),24,0.20,0.01,0.05,-0.19
49,S,13(C),25,0.08,0.08,0.08,-0.00
50,X,13(C),26,0.03,4.50,0.37,4.47
51,Y,13(C),26,0.03,0.05,0.04,0.02
52,Z,13(C),26,0.10,0.75,0.28,0.65
53,S,14(C),27,0.01,0.01,0.01,0.01
54,X,14(C),28,0.11,0.32,0.19,0.20
55,Y,14(C),28,0.02,0.04,0.03,0.01
56,Z,14(C),28,0.04,0.06,0.05,0.02
57,S,15(C),29,0.01,0.00,0.00,-0.00
58,X,15(C),30,-0.00,9.17,0.00,9.17
59,Y,15(C),30,0.30,0.00,0.02,-0.30
60,Z,15(C),30,0.32,2.49,0.89,2.17
61,S,16(C),31,0.89,0.00,0.02,-0.89
62,X,16(C),32,0.91,2.34,1.46,1.43
63,Y,16(C),32,0.27,0.00,0.01,-0.27
64,Z,16(C),32,2.37,0.56,1.15,-1.82
65,S,17(O),33,0.04,-0.00,0.00,-0.04
66,X,17(O),34,0.19,1.15,0.46,0.96
67,Y,17(O),34,0.11,0.00,0.00,-0.11
68,Z,17(O),34,0.19,0.12,0.15,-0.08
69,S,18(C),35,0.30,-0.00,0.00,-0.30
70,X,18(C),36,0.25,41.09,3.23,40.84
71,Y,18(C),36,0.00,0.03,0.00,0.03
72,Z,18(C),36,0.99,11.89,3.42,10.91
73,S,19(O),37,-0.00,-0.00,0.00,0.00
74,X,19(O),38,9.32,16.37,12.35,7.05
75,Y,19(O),38,38.64,0.01,0.61,-38.63
76,Z,19(O),38,34.39,4.79,12.84,-29.60
77,S,20(O),39,0.00,0.00,0.00,-0.00
78,X,20(O),40,0.26,2.40,0.80,2.14
79,Y,20(O),40,6.05,0.00,0.16,-6.05
80,Z,20(O),40,0.15,0.75,0.34,0.59
81,S,21(C),41,0.03,0.00,0.00,-0.03
82,X,21(C),42,0.04,-0.00,0.00,-0.04
83,Y,21(C),42,0.01,0.00,0.00,-0.01
84,Z,21(C),42,0.30,-0.00,0.00,-0.30
85,S,22(H),43,0.00,0.00,0.00,-0.00
86,S,23(H),44,0.01,0.00,0.00,-0.01
87,S,24(H),45,0.00,0.00,0.00,-0.00
88,S,25(H),46,0.01,0.00,0.00,-0.01
89,S,26(H),47,0.00,0.00,0.00,-0.00
90,S,27(H),48,0.00,0.00,0.00,0.00
91,S,28(H),49,0.01,0.00,0.01,-0.00
92,S,29(H),50,0.12,0.01,0.04,-0.11
93,S,30(H),51,0.02,0.01,0.02,-0.01
94,S,31(H),52,0.04,0.00,0.00,-0.04
95,S,32(H),53,0.11,0.04,0.07,-0.07
96,S,33(H),54,0.03,0.06,0.04,0.03
